PT;AU;TI;DE;AB;TC;PY;PG
J;"Hirschvogel, M; Jagschies, L; Maier, A; Wildhirt, SM; Gee, MW";An in silico twin for epicardial augmentation of the failing heart;"cardiac augmentation; cardiomyopathy; cardiovascular mechanics; heart failure; heart modeling; ventricular assist device";Advances in ventricular assist device (VAD) technology for the treatment of end-stage congestive heart failure (CHF) are needed to cope with the increasing numbers of patients that cannot be provided with donor hearts for transplantation. We develop and investigate a novel extravascular VAD technology that provides biventricular, epicardial pressure support for the failing heart. This novel VAD concept avoids blood contact that is accompanied with typical complications such as coagulation and infections. To date, in vivo porcine model results with a prototype of the implant exist, further studies to improve the implant's performance and promote its applicability in humans are needed. In this contribution, we present a personalised functional digital twin of the heart, the vascular system, and the novel VAD technology in terms of a calibrated, customized computational model. The calibration procedure is based on patient-specific measurements and is performed by solving an inverse problem. This in silico model is able to (a) confirm in vivo experimental data, (b) predict healthy and pathologic ventricular function, and (c) assess the beneficial impact of the novel VAD concept to a high level of fidelity. The model shows very good agreement with in vivo data and reliably predicts increases in stroke volume and left ventricular pressure with increasing ventricular support. Furthermore, the digital twin allows insight into quantities that are poorly or not at all amenable in any experimental setup. Conclusively, the model's ability to link integral hemodynamic variables to local tissue mechanical deformation makes it a highly valuable tool for the dimensioning of novel VAD technologies and future treatment strategies in heart failure. The presented in silico twin enhances in vivo studies by facilitating the accessibility and increasing the range of quantities of interest. Because of its flexibility in the assessment of design variants and optimization loops, it may substantially contribute to a reduction of the amount of animal experiments in this and similar settings.;0;2019;23
J;"Yoo, SJ; Ahn, HJ";Software-Based Integral Product Architecture for Modular Motion Control System of a RFC Linear Motor Motion Stage: Model-Based DOB for Residual Vibration Suppression;"Integral product approach; Modular motion control system; Linear motor motion stage; RFC (reaction force compensation); Disturbance observer";Together with strong ICT technology and concept of smart factory, motion control system is driving innovation and increased productivity across the industrial landscape. Thus, motion control systems built with modular approach has ever-longer lists of demands for performance improvement. This paper presents software-based integral product architecture for the modular motion control system of a RFC linear motor motion stage: a model-based DOB for residual vibration suppression. First, the modular motion control system of a linear motor motion stage with air bearing is introduced and its digital twin or multi-rate simulation model is verified with experiments. Then, software-based integral product approach or a model-based DOB is applied to improve the performances of the linear motor stage and its feasibility is confirmed based on the simulation model. Auxiliary software to implement the model-based DOB into a commercial motion control are developed including excitation, DOB user code and data import. Finally, the model-based DOB is shown to improve both motion jitter and settling time of the motion stage through experiments. Precisely, 93% of the following error and 84% the settling time of +/- 0.5 mu m window are improved.;0;;7
J;"DebRoy, T; Mukherjee, T; Milewski, JO; Elmer, JW; Ribic, B; Blecher, JJ; Zhang, W";Scientific, technological and economic issues in metal printing and their solutions;;3D printing is now widely used in aerospace, healthcare, energy, automotive and other industries. Metal printing, in particular, is the fastest growing sector, yet its development presents scientific, technological and economic challenges that must be understood and addressed.;0;2019;7
J;"Defraeye, T; Tagliavini, G; Wu, WT; Prawiranto, K; Schudel, S; Kerisima, MA; Verboven, P; Buhlmann, A";Digital twins probe into food cooling and biochemical quality changes for reducing losses in refrigerated supply chains;"Thermophysical; Fruit simulator; Multiphysics; In-silico; Biophysical twin; Digital avatar";Refrigerated transport and storage of mango fruit are essential to maintain quality, reduce food waste and the associated embodied energy losses. Refrigeration is also key to enable successful transcontinental export to distant markets. To minimize the environmental impact of the cold chain and to optimize logistics, a better knowledge of the fruit quality evolution within individual shipments would be extremely valueable. For this purpose, a digital fruit twin is developed, based on mechanistic modeling. This digital twin simulates the thermal behavior of mango fruit throughout the cold chain, based on the measured environmental temperature conditions, namely the air temperature in the vicinity of the fruit. At the same time, the evolution of associated quality attributes, due to enzymatically-driven, temperature-dependent biochemical degradation reactions, is quantified. Also, a biophysical counterpart of real mango fruit an innovative fruit simulator sensing device - was developed and used for model validation of fruit pulp temperatures. We identified - in-silico - the impact of the unique delivery air temperature history and cold chain length on fruit quality evolution for actual maritime vs. airfreight transport pathways. Digital twins were found to provide complementary insights in the thermophysical behavior of fruit, particularly in supply chains of very perishable species, and for storage at low airflow rates. Such mechanistic modeling enabled to understand, record, and predict where temperature-dependent fruit quality loss occurs in each supply chain. In that way, digital twins can help to improve refrigeration processes and logistics to reduce food losses, thereby making the refrigerated supply chain greener.;1;2019;17
J;"Leng, JW; Yan, DX; Liu, Q; Zhang, H; Zhao, GG; Wei, LJ; Zhang, D; Yu, AL; Chen, X";Digital twin-driven joint optimisation of packing and storage assignment in large-scale automated high-rise warehouse product-service system;"Digital twin; large-scale automated high-rise warehouse; warehouse product-service system; storage assignment; cyber-physical systems";Current mass individualisation and service-oriented paradigm calls for high flexibility and agility in the warehouse system to adapt changes in products. This paper proposes a novel digital twin-driven joint optimisation approach for warehousing in large-scale automated high-rise warehouse product-service system. A Digital Twin System is developed to aggregate real-time data from physical warehouse product-service system and then to map it to the cyber model. A joint optimisation model on how to timely optimise stacked packing and storage assignment of warehouse product-service system is integrated to the Digital Twin System. Through perceiving online data from the physical warehouse product-service system, periodical optimal decisions can be obtained via the joint optimisation model and then fed back to the semi-physical simulation engine in the Digital Twin System for verifying the implementation result. A demonstrative prototype is developed and verified with a case study of a tobacco warehouse product-service system. The proposed approach can maximise the utilisation and efficiency of the large-scale automated high-rise warehouse product-service system.;0;;18
J;"Koenig, F; Found, P; Kumar, M";Improving maintenance quality in airport baggage handling operations;"condition monitoring; time-based maintenance; reclaim carousel maintenance; Service 4; 0; wireless battery powered sensors";"Purpose: The findings of a recent study at Heathrow are presented. The objective of the study was an operational quality issue with the baggage reclaim process and addressed the problem of unexpected downtime of baggage carousels during operational hours. For airlines and airports, the reclaim carousel is a key element in the process whereby passengers decide about the quality of their journey. Failure that leads to longer waiting times or even the relocation of baggage to another carousel results in passenger dissatisfaction and therefore needs to be avoided. The current regime of 'time-based' or 'preventative' maintenance can be classified as 'run-to-break' or 'reactive', causing frequent and costly downtime. A novel condition-based monitoring method to improve the reliability of the time-critical baggage reclaim process is described. Reclaim carousel maintenance quality was improved by the development of innovative condition-based maintenance systems designed to meet the requirements of twenty-first century airport systems and Industry 4.0 in cooperation with Siemens DF (digital factory) and their internet of things (IoT) platform Mindsphere. Methodology: A technical action research approach was undertaken at one of the biggest capital airport baggage handling systems in Europe. From June 2016 a condition monitoring pilot system on one operational carousel was established using engineering cycle theory. A solution was designed, installed, continually monitored and the results discussed with practitioners from the operation and maintenance (O&M) department. Root cause analysis was used to identify reasons for abrasive wear, followed by failure simulations during operation. Technical vibration data was collected so that an adequate condition monitoring system could be developed and optimised that improved the maintenance quality of reclaim carousels and reduced the costs associated with unexpected failure of the baggage handling system. Findings: Run-to-break maintenance is never conducive to quality maintenance and control and results in great uncertainty and unreliability. Meeting the objective of improving quality was difficult because the assets are hidden and baggage carousels are in constant use; however using wireless beacon technology it was possible to identify what problems might occur and when. Using the cloud-based IoT and Airport 4.0 also necessitated many sophisticated checks and measures, which are now in development. This study highlights the value of changing from the antiquated 'run to break' maintenance of hidden assets in airport baggage handling carousels to high-quality maintenance through the use of condition monitoring using wireless vibration sensors linked to a cloud-based IoT ecosystem. Originality/Value: With this solution in operation, maintenance quality has been approved and heavy damage can be avoided. The solution addresses problems caused by a variety of hidden equipment needing the highest possible maintenance quality. It can instantly secure the best quality of service for critical assets in an operation that cannot afford any unplanned downtime.";0;2019;18
J;Kusiak, A;Convolutional and generative adversarial neural networks in manufacturing;"manufacturing; smart manufacturing; intelligent manufacturing; deep learning; machine learning; convolutional neural networks; generative adversarial networks";Manufacturing is undergoing transformation driven by the developments in process technology, information technology, and data science. A future manufacturing enterprise will be highly digital. This will create opportunities for machine learning algorithms to generate predictive models across the enterprise in the spirit of the digital twin concept. Convolutional and generative adversarial neural networks have received some attention of the manufacturing research community. Representative research and applications of the two machine learning concepts in manufacturing are presented. Advantages and limitations of each neural network are discussed. The paper might be helpful in identifying research gaps, inspire machine learning research in new manufacturing domains, contribute to the development of successful neural network architectures, and getting deeper insights into the manufacturing data.;0;;11
J;"Havard, V; Jeanne, B; Lacomblez, M; Baudry, D";Digital twin and virtual reality: a co-simulation environment for design and assessment of industrial workstations;"Co-simulation architecture; digital twin; virtual reality; industry 4.0";In the context of the Industry 4.0 and of the digital factory, digital twin and virtual reality represent key technologies to design, simulate and optimize cyber-physical production system and interact with it remotely or in a collaborative way. Moreover, these technologies open up new possibilities which can be involved in the co-design and ergonomics studies of workstations, based on Industry 4.0 components like cobots. In order to satisfy these needs and to create dynamic and immersive virtual environment, it is therefore necessary to combine the capacities of the digital twin to perform simulation of the production system with the capacities of the immersive virtual environment in term of interactions. This paper proposes a co-simulation and communication architecture between digital twin and virtual reality software, then it presents a use case on a human-robot collaborative workplace design and assessment.;0;2019;18
J;"Talkhestani, BA; Jung, T; Lindemann, B; Sahlab, N; Jazdi, N; Schloegl, W; Weyrich, M";An architecture of an Intelligent Digital Twin in a Cyber-Physical Production System;"Architecture of Digital Twin; Cyber-Physical Production System; Intelligent Digital Twin; Artificial Intelligence";The role of a Digital Twin is increasingly discussed within the context of Cyber-Physical Production Systems. Accordingly, various architectures for the realization of Digital Twin use cases are conceptualized. There lacks, however, a clear, encompassing architecture covering necessary components of a Digital Twin to realize various use cases in an intelligent automation system. In this contribution, the added value of a Digital Twin in an intelligent automation system is highlighted and various existing definitions and architectures of the Digital Twin are discussed. Flowingly, an architecture for a Digital Twin and an architecture for an Intelligent Digital Twin and their required components are proposed, with which use cases such as plug and produce, self-x and predictive maintenance are enabled. In the opinion of the authors, a Digital Twin requires three main characteristics: synchronization with the real asset, active data acquisition from the real environment and the ability of simulation. In addition to all the characteristics of a Digital Twin, an Intelligent Digital Twin must also include the characteristics of Artificial Intelligence. The Intelligent Digital Twin can be used for the realization of the autonomous Cyber-Physical Production Systems. In order to realize the proposed architecture for a Digital Twin, several methods, namely the Anchor-Point-Method, a method for heterogeneous data acquisition and data integration as well as an agent-based method for the development of a co-simulation between Digital Twins were implemented and evaluated.;0;2019;21
J;"Tagliavini, G; Defraeye, T; Carmeliet, J";Multiphysics modeling of convective cooling of non-spherical, multi-material fruit to unveil its quality evolution throughout the cold chain;"Fruit cooling; Computational fluid dynamics; Cold chain; Quality prediction; Mangos; Digital twin";Convective cooling is essential in many supply chain unit operations for refrigerated transport and cold storage of fresh products. Fruit must be kept at low temperatures to preserve quality and to slow down biochemically-driven food degradation. Along the cold chain, heterogeneities in temperatures are present among individual products, which influence the resulting product quality, causing significant food losses. This study presents a thermo-fluid dynamic model of a single mango fruit to better understand the convective cooling behavior of fruits with more complex, non-spherical shapes and a heterogeneous composition. To explain the biochemical and biological processes affecting the product's final quality, experimental data from the literature are used to calibrate kinetic rate laws for the prediction of different quality attributes (overall quality, flesh firmness, titratable acidity, total soluble solids and vitamin content) over time. The accuracy of airflow modeling and of applying a realistic fruit shape are assessed. It is quantified how much higher airspeeds lead to faster cooling of the pulp and seed, and how strong non-uniform temperature heterogeneities are inside the fruit. From sensitivity analysis, air temperature has the most impact on fruit temperature during cooling, while thermal properties and fruit size have a minor influence. The evolution of the quality attributes is shown at different temperatures, and the heterogeneities in quality within the mango fruit are also investigated. The obtained insights will help advance cooling process optimization for other complex-shaped, multi-material fruit and vegetables. (C) 2019 Institution of Chemical Engineers. Published by Elsevier B.V. All rights reserved.;0;2019;11
J;"Short, M; Twiddle, J";An Industrial Digitalization Platform for Condition Monitoring and Predictive Maintenance of Pumping Equipment;"industrial digitalization; industry 4; 0; sliding mode observers; soft sensors; edge computing; condition monitoring; predictive maintenance; field testing; IoT";"This paper is concerned with the implementation and field-testing of an edge device for real-time condition monitoring and fault detection for large-scale rotating equipment in the UK water industry. The edge device implements a local digital twin, processing information from low-cost transducers mounted on the equipment in real-time. Condition monitoring is achieved with sliding-mode observers employed as soft sensors to estimate critical internal pump parameters to help detect equipment wear before damage occurs. The paper describes the implementation of the edge system on a prototype microcontroller-based embedded platform, which supports the Modbus protocol; IP/GSM communication gateways provide remote connectivity to the network core, allowing further detailed analytics for predictive maintenance to take place. The paper first describes validation testing of the edge device using Hardware-In-The-Loop techniques, followed by trials on large-scale pumping equipment in the field. The paper concludes that the proposed system potentially delivers a flexible and low-cost industrial digitalization platform for condition monitoring and predictive maintenance applications in the water industry.";0;2019;16
J;"Sepasgozar, SME; Karimi, R; Shirowzhan, S; Mojtahedi, M; Ebrahimzadeh, S; McCarthy, D";Delay Causes and Emerging Digital Tools: A Novel Model of Delay Analysis, Including Integrated Project Delivery and PMBOK;"delay; time overruns; cost overruns; scheduling; PMBOK construction extension; PMI scheduling standards; Microsoft projects; primavera; BIM; GIS; risk analysis; IPD";Delay is one of the main challenges of construction projects, and there is still much to overcome in order to reach near zero delay in all construction projects. This project aims to conduct a systematic critical review including a bibliography analysis on delay literature in construction. The main questions consider what has been learnt from a decade investigating delay causes and effects in the construction literature and what factors have been missed in the literature. This paper also presents a new and challenging question regarding how digital tools and associated technologies may prevent any delay in construction projects, which can change the research direction from delay investigations to identifying prevention factors. The paper identifies the delay dataset, including 493 papers investigating delay in construction, and establishes a specific dataset of papers focusing on delay effects and causes (DEC), including 94 selected papers covering different factors examined in over 29 countries such as Iran, India, Turkey, Bangladesh, Saudi Arabia, the United Arab Emirates (UAE), Cambodia, Oman, Malaysia, Taiwan, China, Vietnam, the US, the UK, and Egypt. In addition, the paper identifies 30 critical factors with the frequency of occurrences over three times in the DEC dataset and computes their medians of ranking. This paper also discusses digital tools and methods that can be used for delay analysis and preventions, including MS Project, Oracle Primavera P6, and Open Plan by Deltek. The paper discusses the project schedule delay analysis from project management methodology perspectives. It also discusses the current method's limitations and future directions, which are based on the identification of the deficiency areas. In total, four overlooked factors are identified and suggested, including faulty data analysis, unmatched structure of the research questionnaires with new knowledge and standards [e.g., Project Management Body of Knowledge (PMBOK)], overlooked effects of digital technologies [e.g., Digital twin, Navisworks, Building Information Model (BIM), Geographic Information System (GIS), and Integrated Project Delivery (IPD)], and ignored job-site technologies. In addition, the paper presents the DEC model for future studies, including four main key factors. These factors are resources (e.g., project budgets, labour, material, equipment, and digital tool), project context, stakeholders performance (e.g., owner/client, consultant/designer, contractor, vendor/supplier), and external factors (e.g., ground condition, site location, regulation, natural disaster), which may significantly affect delay prevention and should be concurrently considered in the future delay investigations, since they may be required for designing an effective mitigation strategy when these proof points are identified. This would significantly help to utilise digital systems to prevent time overruns in different construction contexts.;0;2019;37
J;"Bicocchi, N; Cabri, G; Mandreoli, F; Mecella, M";Dynamic digital factories for agile supply chains: An architectural approach;"Smart factory; Digital factory; Interoperability framework; Process; Service; Data space";Digital factories comprise a multi-layered integration of various activities along the factories and product life-cycles. A central aspect of a digital factory is that of enabling the product lifecycle stakeholders to collaborate through the use of software solutions. The digital factory thus expands outside the company boundaries and offers the opportunity to collaborate on business processes affecting the whole supply chain. This paper discusses an interoperability architecture for digital factories. To this end, it delves into the issue by analysing the key requirements for enabling a scalable factory architecture characterized by access to services, aggregation of data, and orchestration of production processes. Then, the paper revises the state-of-the-art w.r.t. these requirements and proposes an architectural framework conjugating features of both service-oriented and data-sharing architectures. The framework is exemplified through a case study.;0;2019;11
J;"Venkatesan, S; Manickavasagam, K; Tengenkai, N; Vijayalakshmi, N";Health monitoring and prognosis of electric vehicle motor using intelligent-digital twin;;Electric mobility has become an essential part of the future of transportation. Detection, diagnosis and prognosis of fault in electric drives are improving the reliability, of electric vehicles (EV). Permanent magnet synchronous motor (PMSM) drives are used in a large variety of applications due to their dynamic performances, higher power density and higher efficiency. In this study, health monitoring and prognosis of PMSM is developed by creating intelligent digital twin (i-DT) in MATLAB/Simulink. An artificial neural network (ANN) and fuzzy logic are used for mapping inputs distance, time of travel of EV and outputs casing temperature, winding temperature, time to refill the bearing lubricant, percentage deterioration of magnetic flux to compute remaining useful life (RUL) of permanent magnet (PM). Health monitoring and prognosis of EV motor using i-DT is developed with two approaches. Firstly, in-house health monitoring and prognosis is developed to monitor the performance of the motor in-house. Secondly, Remote Health Monitoring and Prognosis Centre (RHMPC) is developed to monitor the performance of the motor remotely using cloud communication by the service provider of the EV. The simulation results prove that the RUL of PM and time to refill the bearing lubricant obtained by i-DT twins theoretical results.;0;2019;8
J;"Candell, R; Kashef, M; Liu, YK; Foufou, S";A SysML representation of the wireless factory work cell Enabling real-time observation and control by modeling significant architecture, components, and information flows;"Industrial wireless; Factory communications; Networked control systems; Manufacturing; Cyber-physical systems; SysML";A fourth industrial revolution, occurring in global manufacturing, provides a vision of future manufacturing systems that incorporate highly dynamic physical systems, robust and responsive communications systems, and computing paradigms to maximize efficiency, enable mobility, and realize the promises of the digital factory. Wireless technology is a key enabler of that vision. A comprehensive graphical model is developed for a generic wireless factory work cell which employs the Systems Modeling Language (SysML), a standardized and semantically rich modeling language, to link the physical and network domains in such a cyber-physical system (CPS). The proposed model identifies the structural primitives, interfaces, and behaviors of the highly connected factory work cell in which wireless technology is used for significant data flows involved in control algorithms. The model includes the parametric definitions to encapsulate information loss, delay, and mutation associated with the wireless network, and it identifies pertinent wireless information flows.;0;2019;22
J;Kockmann, N;Digital methods and tools for chemical equipment and plants;;The Internet of Things (IoT), Industry 4.0, and the digitalization of business processes offer new opportunities and business models for the process industry, including education and training. The ProcessNet Symposion in Tutzing, Germany, held in April 2018 dealt with digitalization in the process industry. The outcome was described in 12 theses. Lean processes and integrated, software-assisted workflows are essential foundations, on which platform solutions and digital tools such as data analysis, networking systems, and artificial intelligence can be based. The digital twin of modular equipment, processes or entire plants improves planning processes and simplifies work flow in production. Interdisciplinary communication, the acquisition and evaluation of knowledge and lifelong learning will become more and more important.;0;2019;8
